H	Tau
T	
3.402705128	0.313102
3.416755723	0.313863
3.435101057	0.314039
3.445263773	0.313988
3.465290828	0.31507
3.478428211	0.31588
3.491873003	0.316139
3.500191233	0.316378
3.515742701	0.317165
3.525489492	0.318173
3.537089798	0.318274
3.549313969	0.318671
3.557840145	0.319089
3.58519985	0.319082
3.597505384	0.320093
3.604982735	0.320645
3.626673376	0.320749
3.64162807	0.321433
3.655570108	0.322096
3.670985911	0.323082
3.683454174	0.323355
3.690407105	0.32353
3.698797637	0.323692
3.704837373	0.32376
3.723598523	0.324226
3.730659948	0.324534
3.739394051	0.32462
3.753996095	0.325378
3.76581335	0.325967
3.774475115	0.326108
3.782088065	0.326276
3.796943259	0.326274
3.812422313	0.326513
3.823290197	0.326945
3.836282831	0.327819
3.848760097	0.327941
3.855920961	0.328006
3.864338592	0.328425
3.880061746	0.329559
3.905395996	0.329922
3.920802686	0.330498
3.929256472	0.330927
3.939916378	0.331114
3.952701029	0.331436
3.962836525	0.331742
3.971190848	0.3325
3.980024368	0.333022
3.994771008	0.332914
4.007528521	0.333417
4.020276989	0.334493
4.028766925	0.335193
4.036985615	0.335645
4.05130729	0.335955
4.06060191	0.336092
4.069200336	0.336021
4.07778972	0.33603
4.087048169	0.336445
4.091279569	0.336647
4.108675321	0.336836
4.119470811	0.337092
4.123250136	0.337509
4.14047409	0.338566
4.153014571	0.338598
4.166920306	0.338771
4.173565763	0.339494
4.185970614	0.339952
4.193999408	0.340377
4.205463945	0.341197
4.218953759	0.341581
4.223700509	0.342214
4.235264495	0.342753
4.248302229	0.343155
4.258293002	0.343244
4.268672553	0.343176
4.276529546	0.343196
4.288581755	0.343777
4.306682666	0.344507
4.316646302	0.344849
4.32586854	0.345176
4.332296981	0.345555
4.352459316	0.346731
4.364827954	0.347524
4.372305193	0.347699
4.39039703	0.348151
4.404275572	0.348407
4.416852148	0.348856
4.423696481	0.34935
4.433171856	0.34972
4.447104633	0.350342
4.455106258	0.350616
4.473559718	0.350775
4.48281809	0.351579
4.489807075	0.351929
4.504517392	0.352645
4.514788392	0.35276
4.522582053	0.353074
4.530891072	0.353252
4.546125775	0.353442
4.556749378	0.353664
4.564090964	0.354269
4.574325784	0.354477
4.589560473	0.354881
4.604614329	0.355529
4.614505568	0.355941
4.621666318	0.356321
4.635644242	0.357403
4.648012803	0.357998
4.660516981	0.358912
4.671945235	0.359198
4.676664814	0.359039
4.687631957	0.358937
4.702794275	0.359527
4.709123207	0.360105
4.722368756	0.360607
4.734909077	0.361212
4.745180023	0.360989
4.758208569	0.361332
4.771345607	0.361805
4.787041333	0.361858
4.800313981	0.362481
4.813414841	0.363031
4.828577114	0.364862
4.84171413	0.366111
4.853070006	0.366292
4.862265008	0.36634
4.870546837	0.366765
4.887906124	0.368124
4.901006956	0.368233
4.913068036	0.368563
4.924668007	0.368801
4.935282474	0.369494
4.948808232	0.370682
4.957297993	0.370674
